"ID","KODE_SATUAN","URAIAN_SATUAN"
"6511","J76","CALORIE (INTERNATIONAL TABLE) /GRAM DEGREE CELSIUS"
"6510","J75","CALORIE (MEAN)"
"6509","J74","CENTIPOISE PER BAR"
"6508","J73","CENTIPOISE PER KELVIN"
"6507","J72","CENTINEWTON METRE"
"6506","J71","BUSHEL (US DRY) PER SECOND"
"6505","J70","BUSHEL (US DRY) PER MINUTE"
"6504","J69","BUSHEL (US DRY) PER HOUR"
"6503","J68","BUSHEL (US DRY) PER DAY"
"6502","J67","BUSHEL (UK) PER SECOND"
"6501","J66","BUSHEL (UK) PER MINUTE"
"6500","J65","BUSHEL (UK) PER HOUR"
"6499","J64","BUSHEL (UK) PER DAY"
"6498","J63","BARREL (US PETROLEUM) PER SECOND"
